t,x,xd,xdd,
1.18,0.0930062,0.0383215,-0.0930062,
1.19,0.0933894,0.0373915,-0.0933894,
1.2,0.0937633,0.0364576,-0.0937633,
1.21,0.0941279,0.0355199,-0.0941279,
1.22,0.0944831,0.0345787,-0.0944831,
1.23,0.0948289,0.0336338,-0.0948289,
1.24,0.0951652,0.0326856,-0.0951652,
1.25,0.0954921,0.0317339,-0.0954921,
1.26,0.0958094,0.030779,-0.0958094,
1.27,0.0961172,0.0298209,-0.0961172,
1.28,0.0964154,0.0288597,-0.0964154,
1.29,0.096704,0.0278956,-0.096704,
1.3,0.096983,0.0269285,-0.096983,
1.31,0.0972523,0.0259587,-0.0972523,
1.32,0.0975118,0.0249862,-0.0975118,
1.33,0.0977617,0.024011,-0.0977617,
1.34,0.0980018,0.0230334,-0.0980018,
1.35,0.0982322,0.0220534,-0.0982322,
1.36,0.0984527,0.0210711,-0.0984527,
1.37,0.0986634,0.0200866,-0.0986634,
1.38,0.0988643,0.0190999,-0.0988643,
1.39,0.0990553,0.0181113,-0.0990553,
1.4,0.0992364,0.0171207,-0.0992364,
1.41,0.0994076,0.0161284,-0.0994076,
1.42,0.0995689,0.0151343,-0.0995689,
1.43,0.0997202,0.0141386,-0.0997202,
1.44,0.0998616,0.0131414,-0.0998616,
1.45,0.099993,0.0121428,-0.099993,
1.46,0.100114,0.0111429,-0.100114,
1.47,0.100226,0.0101417,-0.100226,
1.48,0.100327,0.00913945,-0.100327,
1.49,0.100419,0.00813618,-0.100419,
1.5,0.1005,0.00713199,-0.1005,
1.51,0.100571,0.00612699,-0.100571,
1.52,0.100633,0.00512128,-0.100633,
1.53,0.100684,0.00411495,-0.100684,
1.54,0.100725,0.00310812,-0.100725,
1.55,0.100756,0.00210087,-0.100756,
1.56,0.100777,0.00109331,-0.100777,
1.57,0.100788,8.55345e-05,-0.100788,
1.58,0.100789,-0.000922346,-0.100789,
1.59,0.10078,-0.00193023,-0.10078,
1.6,0.10076,-0.00293803,-0.10076,
1.61,0.100731,-0.00394563,-0.100731,
1.62,0.100692,-0.00495294,-0.100692,
1.63,0.100642,-0.00595986,-0.100642,
1.64,0.100582,-0.00696628,-0.100582,
1.65,0.100513,-0.0079721,-0.100513,
1.66,0.100433,-0.00897723,-0.100433,
1.67,0.100343,-0.00998156,-0.100343,
1.68,0.100243,-0.010985,-0.100243,
1.69,0.100134,-0.0119874,-0.100134,
1.7,0.100014,-0.0129888,-0.100014,
1.71,0.0998838,-0.0139889,-0.0998838,
1.72,0.0997439,-0.0149877,-0.0997439,
1.73,0.099594,-0.0159852,-0.099594,
1.74,0.0994342,-0.0169811,-0.0994342,
1.75,0.0992644,-0.0179755,-0.0992644,
1.76,0.0990846,-0.0189681,-0.0990846,
1.77,0.0988949,-0.0199589,-0.0988949,
1.78,0.0986953,-0.0209479,-0.0986953,
1.79,0.0984859,-0.0219348,-0.0984859,
1.8,0.0982665,-0.0229197,-0.0982665,
1.81,0.0980373,-0.0239024,-0.0980373,
1.82,0.0977983,-0.0248827,-0.0977983,
1.83,0.0975495,-0.0258607,-0.0975495,
1.84,0.0972909,-0.0268362,-0.0972909,
1.85,0.0970225,-0.0278091,-0.0970225,
1.86,0.0967444,-0.0287794,-0.0967444,
1.87,0.0964566,-0.0297468,-0.0964566,
1.88,0.0961591,-0.0307114,-0.0961591,
1.89,0.095852,-0.031673,-0.095852,
1.9,0.0955353,-0.0326315,-0.0955353,
1.91,0.095209,-0.0335868,-0.095209,
1.92,0.0948731,-0.0345389,-0.0948731,
1.93,0.0945277,-0.0354877,-0.0945277,
1.94,0.0941729,-0.0364329,-0.0941729,
1.95,0.0938085,-0.0373747,-0.0938085,
1.96,0.0934348,-0.0383127,-0.0934348,
1.97,0.0930516,-0.0392471,-0.0930516,
1.98,0.0926592,-0.0401776,-0.0926592,
1.99,0.0922574,-0.0411042,-0.0922574,
2,0.0918464,-0.0420268,-0.0918464,
2.01,0.0914261,-0.0429452,-0.0914261,
2.02,0.0909966,-0.0438595,-0.0909966,
2.03,0.090558,-0.0447695,-0.090558,
2.04,0.0901103,-0.045675,-0.0901103,
2.05,0.0896536,-0.0465761,-0.0896536,
2.06,0.0891878,-0.0474727,-0.0891878,
2.07,0.0887131,-0.0483646,-0.0887131,
2.08,0.0882295,-0.0492517,-0.0882295,
2.09,0.0877369,-0.050134,-0.0877369,
2.1,0.0872356,-0.0510114,-0.0872356,
