t,x,xd,xdd,
1.17,0.0920751,0.0390152,-0.0920751,
1.18,0.0924606,0.0380925,-0.0924606,
1.19,0.0928369,0.037166,-0.0928369,
1.2,0.0932039,0.0362358,-0.0932039,
1.21,0.0935616,0.0353019,-0.0935616,
1.22,0.0939099,0.0343646,-0.0939099,
1.23,0.0942489,0.0334238,-0.0942489,
1.24,0.0945784,0.0324796,-0.0945784,
1.25,0.0948985,0.0315322,-0.0948985,
1.26,0.095209,0.0305817,-0.095209,
1.27,0.0955101,0.0296281,-0.0955101,
1.28,0.0958016,0.0286715,-0.0958016,
1.29,0.0960835,0.0277121,-0.0960835,
1.3,0.0963558,0.0267499,-0.0963558,
1.31,0.0966185,0.025785,-0.0966185,
1.32,0.0968715,0.0248175,-0.0968715,
1.33,0.0971148,0.0238476,-0.0971148,
1.34,0.0973485,0.0228753,-0.0973485,
1.35,0.0975723,0.0219007,-0.0975723,
1.36,0.0977865,0.0209239,-0.0977865,
1.37,0.0979908,0.019945,-0.0979908,
1.38,0.0981854,0.0189641,-0.0981854,
1.39,0.0983701,0.0179813,-0.0983701,
1.4,0.098545,0.0169967,-0.098545,
1.41,0.09871,0.0160104,-0.09871,
1.42,0.0988652,0.0150225,-0.0988652,
1.43,0.0990105,0.0140332,-0.0990105,
1.44,0.0991458,0.0130424,-0.0991458,
1.45,0.0992713,0.0120503,-0.0992713,
1.46,0.0993868,0.011057,-0.0993868,
1.47,0.0994924,0.0100626,-0.0994924,
1.48,0.0995881,0.00906716,-0.0995881,
1.49,0.0996738,0.00807084,-0.0996738,
1.5,0.0997495,0.00707372,-0.0997495,
1.51,0.0998152,0.00607589,-0.0998152,
1.52,0.099871,0.00507745,-0.099871,
1.53,0.0999168,0.0040785,-0.0999168,
1.54,0.0999526,0.00307915,-0.0999526,
1.55,0.0999784,0.00207948,-0.0999784,
1.56,0.0999942,0.00107961,-0.0999942,
1.57,0.1,7.96327e-05,-0.1,
1.58,0.0999958,-0.000920354,-0.0999958,
1.59,0.0999816,-0.00192025,-0.0999816,
1.6,0.0999574,-0.00291995,-0.0999574,
1.61,0.0999232,-0.00391936,-0.0999232,
1.62,0.099879,-0.00491838,-0.099879,
1.63,0.0998248,-0.00591691,-0.0998248,
1.64,0.0997606,-0.00691484,-0.0997606,
1.65,0.0996865,-0.00791209,-0.0996865,
1.66,0.0996024,-0.00890854,-0.0996024,
1.67,0.0995083,-0.0099041,-0.0995083,
1.68,0.0994043,-0.0108987,-0.0994043,
1.69,0.0992904,-0.0118922,-0.0992904,
1.7,0.0991665,-0.0128844,-0.0991665,
1.71,0.0990327,-0.0138755,-0.0990327,
1.72,0.098889,-0.0148651,-0.098889,
1.73,0.0987354,-0.0158532,-0.0987354,
1.74,0.0985719,-0.0168397,-0.0985719,
1.75,0.0983986,-0.0178246,-0.0983986,
1.76,0.0982154,-0.0188077,-0.0982154,
1.77,0.0980224,-0.0197889,-0.0980224,
1.78,0.0978197,-0.0207681,-0.0978197,
1.79,0.0976071,-0.0217452,-0.0976071,
1.8,0.0973848,-0.0227202,-0.0973848,
1.81,0.0971527,-0.0236929,-0.0971527,
1.82,0.0969109,-0.0246632,-0.0969109,
1.83,0.0966594,-0.0256311,-0.0966594,
1.84,0.0963983,-0.0265964,-0.0963983,
1.85,0.0961275,-0.027559,-0.0961275,
1.86,0.0958471,-0.0285189,-0.0958471,
1.87,0.0955572,-0.0294759,-0.0955572,
1.88,0.0952576,-0.03043,-0.0952576,
1.89,0.0949486,-0.0313811,-0.0949486,
1.9,0.09463,-0.032329,-0.09463,
1.91,0.094302,-0.0332736,-0.094302,
1.92,0.0939645,-0.034215,-0.0939645,
1.93,0.0936177,-0.0351529,-0.0936177,
1.94,0.0932615,-0.0360873,-0.0932615,
1.95,0.092896,-0.0370181,-0.092896,
1.96,0.0925212,-0.0379452,-0.0925212,
1.97,0.0921371,-0.0388685,-0.0921371,
1.98,0.0917438,-0.0397879,-0.0917438,
1.99,0.0913413,-0.0407033,-0.0913413,
2,0.0909297,-0.0416147,-0.0909297,
2.01,0.0905091,-0.0425219,-0.0905091,
2.02,0.0900793,-0.0434248,-0.0900793,
2.03,0.0896406,-0.0443234,-0.0896406,
2.04,0.0891929,-0.0452176,-0.0891929,
2.05,0.0887362,-0.0461073,-0.0887362,
2.06,0.0882707,-0.0469923,-0.0882707,
2.07,0.0877964,-0.0478727,-0.0877964,
2.08,0.0873133,-0.0487482,-0.0873133,
2.09,0.0868215,-0.0496189,-0.0868215,
2.1,0.0863209,-0.0504846,-0.0863209,
2.11,0.0858118,-0.0513453,-0.0858118,
2.12,0.085294,-0.0522008,-0.085294,
2.13,0.0847678,-0.0530511,-0.0847678,
2.14,0.084233,-0.0538961,-0.084233,
2.15,0.0836899,-0.0547358,-0.0836899,
2.16,0.0831383,-0.0555699,-0.0831383,
2.17,0.0825785,-0.0563985,-0.0825785,
2.18,0.0820104,-0.0572215,-0.0820104,
2.19,0.0814341,-0.0580387,-0.0814341,
2.2,0.0808496,-0.0588501,-0.0808496,
2.21,0.0802571,-0.0596557,-0.0802571,
2.22,0.0796565,-0.0604552,-0.0796565,
2.23,0.079048,-0.0612488,-0.079048,
2.24,0.0784316,-0.0620362,-0.0784316,
2.25,0.0778073,-0.0628174,-0.0778073,
2.26,0.0771753,-0.0635923,-0.0771753,
2.27,0.0765355,-0.0643608,-0.0765355,
2.28,0.0758881,-0.065123,-0.0758881,
2.29,0.0752331,-0.0658786,-0.0752331,
2.3,0.0745705,-0.0666276,-0.0745705,
2.31,0.0739005,-0.06737,-0.0739005,
2.32,0.0732231,-0.0681056,-0.0732231,
2.33,0.0725384,-0.0688344,-0.0725384,
2.34,0.0718465,-0.0695563,-0.0718465,
2.35,0.0711473,-0.0702713,-0.0711473,
2.36,0.0704411,-0.0709793,-0.0704411,
2.37,0.0697278,-0.0716801,-0.0697278,
2.38,0.0690075,-0.0723738,-0.0690075,
2.39,0.0682803,-0.0730602,-0.0682803,
2.4,0.0675463,-0.0737394,-0.0675463,
2.41,0.0668056,-0.0744111,-0.0668056,
2.42,0.0660581,-0.0750755,-0.0660581,
2.43,0.0653041,-0.0757323,-0.0653041,
2.44,0.0645435,-0.0763815,-0.0645435,
2.45,0.0637765,-0.0770231,-0.0637765,
2.46,0.0630031,-0.077657,-0.0630031,
2.47,0.0622234,-0.0782832,-0.0622234,
2.48,0.0614374,-0.0789015,-0.0614374,
